ID|transID|project|transDate|unitNum|custName|custType|particulars|formType|formRef|remarks|paymentType|paymentCash|paymentCheck|paymentOthers|transAmt|checkNum|checkDate|bank|branch|receivedBy|updatedBy|updatedDate|depositStatus|depositDate|depositBy|depositAcct|depositRef|outstandingDays|waterConsumption|waterCardload|waterCard|joiningFee|maintenance|associationDues|penalty|smartCardaccess|parking|constructionSecdep|swimmingPoolGymbasketball|rentalAmenity|rental|carSticker|others|prRef|prDate|orRef|orDate|isPr|isOr
48|12|TLDC|10/11/2019 12:00:00 AM|123|TEST CUSTOMER|TENANT|PENALTY|PR|23124|PENALTY: REMARKS ITO|CHECK||||100|43412|10/31/2019 12:00:00 AM|PNB|test|Joseph Tiotangco|Joseph Tiotangco|10/11/2019 2:11:37 PM|PENDING|||||0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|PR: 23124|||||
49|13|1 TORRE|10/11/2019 12:00:00 AM|123|TEST CUSTOMER|TENANT|MAINTENANCE|PR|123|MAINTENANCE: REMARKS ITO|CHECK||||100|42131|10/11/2019 12:00:00 AM|RCBC|TEST|Joseph Tiotangco|Joseph Tiotangco|10/11/2019 2:32:13 PM|PENDING|||||0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|PR: 123|||||
50|14|1 TORRE|10/11/2019 12:00:00 AM|123|TEST CUSTOMER|TENANT|MAINTENANCE|PR|2312|MAINTENANCE: REMARKS ITO|CHECK||||1000|42131|10/22/2019 12:00:00 AM|RCBC|TEST|Joseph Tiotangco|Joseph Tiotangco|10/11/2019 2:32:33 PM|PENDING|||||0|0|0|0|0|1000|0|0|0|0|0|0|0|0|0|0|PR: 2312|||||
51|15|1 TORRE|10/14/2019 12:00:00 AM|3123|TEST CUSTOMER 123|TENANT|RENTAL|PR|124123|RENTAL: TEST REMARKS|CHECK||||1000|12123|10/25/2019 12:00:00 AM|CITYSTATE BANK|TEST|Joseph Tiotangco|Joseph Tiotangco|10/14/2019 2:31:26 PM|PENDING|||||0|0|0|0|0|0|0|0|0|0|0|0|0|1000|0|0|PR: 124123|10/14/2019 12:00:00 AM||12/30/1899 12:00:00 AM|P|P
52|16|1 TORRE|10/14/2019 12:00:00 AM|3123|TEST CUSTOMER 123|TENANT|RENTAL|PR|124123|RENTAL: TEST REMARKS|CHECK||||2000|12313|10/25/2019 12:00:00 AM|METROBANK|TEST|Joseph Tiotangco|Joseph Tiotangco|10/14/2019 2:31:47 PM|PENDING|||||0|0|0|0|0|0|0|0|0|0|0|0|0|2000|0|0|PR: 124123|10/14/2019 12:00:00 AM||12/30/1899 12:00:00 AM|P|P
53|17|1 TORRE|10/14/2019 12:00:00 AM|123123|TEST CUSTOMER 123|TENANT|RENTAL|PR|124123|RENTAL: TEST REMARKS|CHECK||||12312|312312|10/14/2019 12:00:00 AM|CITYSTATE BANK|tesst|Joseph Tiotangco|Joseph Tiotangco|10/14/2019 3:02:18 PM|PENDING|||||0|0|0|0|0|0|0|0|0|0|0|0|0|12312|0|0|PR: 124123|10/14/2019 12:00:00 AM||12/30/1899 12:00:00 AM|P|P
54|18|1 TORRE|10/14/2019 12:00:00 AM|123123|TEST CUSTOMER 123|TENANT|RENTAL|PR|124123|RENTAL: TEST REMARKS|CHECK||||12312|1232|10/14/2019 12:00:00 AM|PBCOM|tesst|Joseph Tiotangco|Joseph Tiotangco|10/14/2019 3:02:36 PM|PENDING|||||0|0|0|0|0|0|0|0|0|0|0|0|0|12312|0|0|PR: 124123|10/14/2019 12:00:00 AM||12/30/1899 12:00:00 AM|P|P
55|19|1 TORRE|10/14/2019 12:00:00 AM|3123|TEST CUSTOMER 123|TENANT|RENTAL|OR|124123|RENTAL: TEST REMARKS|CASH||||5000||01/01/1900 12:00:00 AM|||Joseph Tiotangco|Joseph Tiotangco|10/14/2019 3:19:58 PM|PENDING|||||0|0|0|0|0|0|0|0|0|0|0|0|0|5000|0|0||12/30/1899 12:00:00 AM|OR: 124123|10/14/2019 12:00:00 AM|P|P
56|20|1 TORRE|10/14/2019 12:00:00 AM|3123|TEST CUSTOMER 123|TENANT|RENTAL|PR|124123|RENTAL: TEST REMARKS|CHECK||||5000|4123123|10/13/2019 12:00:00 AM|PBB|TEST|Joseph Tiotangco|Joseph Tiotangco|10/14/2019 3:20:17 PM|PENDING|||||0|0|0|0|0|0|0|0|0|0|0|0|0|5000|0|0|PR: 124123|10/14/2019 12:00:00 AM||12/30/1899 12:00:00 AM|P|P
57|21|1 TORRE|10/14/2019 12:00:00 AM|3123|TEST CUSTOMER 123|TENANT|RENTAL|PR|124123|RENTAL: TEST REMARKS|CHECK||||5000|4123123|10/13/2019 12:00:00 AM|PBB|TEST|Joseph Tiotangco|Joseph Tiotangco|10/14/2019 3:20:32 PM|PENDING|||||0|0|0|0|0|0|0|0|0|0|0|0|0|5000|0|0|PR: 124123|10/14/2019 12:00:00 AM||12/30/1899 12:00:00 AM|P|P
58|22|1 TORRE|10/14/2019 12:00:00 AM|3123|TEST CUSTOMER 123|TENANT|RENTAL|PR|124123|RENTAL: TEST REMARKS|CHECK||||5000|213123|10/13/2019 12:00:00 AM|PBB|TEST|Joseph Tiotangco|Joseph Tiotangco|10/14/2019 3:20:56 PM|PENDING|||||0|0|0|0|0|0|0|0|0|0|0|0|0|5000|0|0|PR: 124123|10/14/2019 12:00:00 AM||12/30/1899 12:00:00 AM|P|P
59|23-3 TORRE|3 TORRE|10/16/2019 12:00:00 AM|2312|TEST CUSTOMER 123|TENANT|RENTAL|OR|124123|RENTAL: TEST REMARKS|CASH||||3000||01/01/1900 12:00:00 AM|||Joseph Tiotangco|Joseph Tiotangco|10/16/2019 9:38:16 PM|PENDING|||||0|0|0|0|0|0|0|0|0|0|0|0|0|3000|0|0||12/30/1899 12:00:00 AM|OR: 124123|10/16/2019 12:00:00 AM|P|P
60|24-TORRE MALATE|TORRE MALATE|10/18/2019 12:00:00 AM|123123|TEST CUSTOMER 123|TENANT|RENTAL|OR|51351|RENTAL: TEST REMARKS|CASH||||500||12/30/1899 12:00:00 AM|||Joseph Tiotangco|Joseph Tiotangco|10/18/2019 10:34:36 AM|PENDING|01/01/1900 12:00:00 AM|||||0|0|0|0|0|0|0|0|0|0|0|0|500|0|0||12/30/1899 12:00:00 AM|OR: 51351|10/18/2019 12:00:00 AM|P|P
